event_ts,feature_key,scope,oblast,value_bool
2022-05-26T15:50:53+00:00,mass_attack_active,oblast,donetsk,true
2022-05-27T03:57:42+00:00,mass_attack_active,oblast,chernivtsi,true
2022-05-28T05:12:23+00:00,mass_attack_active,oblast,donetsk,true
2022-05-28T15:41:57+00:00,mass_attack_active,oblast,chernihiv,true
2022-05-30T15:20:39+00:00,mass_attack_active,oblast,cherkasy,true
2022-06-01T04:13:55+00:00,mass_attack_active,oblast,donetsk,true
2022-06-03T04:12:33+00:00,mass_attack_active,oblast,donetsk,true
2022-06-03T15:21:21+00:00,mass_attack_active,oblast,chernihiv,true
2022-06-04T03:52:31+00:00,mass_attack_active,oblast,cherkasy,true
2022-06-04T17:20:51+00:00,mass_attack_active,oblast,chernihiv,true
2022-06-05T09:30:55+00:00,tu_95_takeoff,national,,true
2022-06-05T09:34:43+00:00,mass_attack_active,oblast,mykolaiv,true
2022-06-06T15:48:04+00:00,mass_attack_active,oblast,donetsk,true
2022-06-07T04:16:41+00:00,mass_attack_active,oblast,donetsk,true
2022-06-07T15:49:36+00:00,mass_attack_active,oblast,chernihiv,true
2022-06-08T09:35:53+00:00,mass_attack_active,national,,true
2022-06-09T04:20:44+00:00,mass_attack_active,oblast,cherkasy,true
2022-06-09T16:35:27+00:00,mass_attack_active,oblast,donetsk,true
2022-06-19T16:00:35+00:00,mass_attack_active,oblast,donetsk,true
2022-06-20T04:25:26+00:00,mass_attack_active,oblast,donetsk,true
2022-06-21T04:31:28+00:00,mass_attack_active,oblast,donetsk,true
2022-06-21T15:52:08+00:00,mass_attack_active,oblast,cherkasy,true
2022-06-22T15:52:47+00:00,mass_attack_active,oblast,donetsk,true
2022-06-23T15:36:29+00:00,mass_attack_active,oblast,mykolaiv,true
2022-06-24T04:52:28+00:00,mass_attack_active,oblast,donetsk,true
2022-06-24T15:28:59+00:00,mass_attack_active,oblast,donetsk,true
2022-06-25T04:49:11+00:00,mass_attack_active,oblast,chernihiv,true
2022-06-25T05:45:00+00:00,mass_attack_active,oblast,kyiv,false
2022-06-25T06:21:58+00:00,mass_attack_active,national,,true
2022-06-25T08:26:19+00:00,mass_attack_active,oblast,chernihiv,true
2022-06-25T09:22:42+00:00,mass_attack_active,national,,true
2022-06-25T10:50:07+00:00,mass_attack_active,national,,true
2022-06-25T15:53:22+00:00,mass_attack_active,oblast,chernihiv,true
2022-06-26T05:13:53+00:00,mass_attack_active,oblast,chernihiv,true
2022-06-26T05:18:36+00:00,mass_attack_active,oblast,mykolaiv,true
2022-06-26T15:20:53+00:00,mass_attack_active,oblast,donetsk,true
2022-06-27T04:30:32+00:00,mass_attack_active,oblast,chernihiv,true
2022-06-27T15:43:32+00:00,mass_attack_active,oblast,donetsk,true
2022-06-27T15:43:33+00:00,mass_attack_active,oblast,kherson,true
2022-06-28T11:30:02+00:00,mass_attack_active,national,,true
2022-06-28T15:33:15+00:00,mass_attack_active,national,,true
2022-06-29T04:05:44+00:00,mass_attack_active,oblast,chernihiv,true
2022-06-30T04:38:11+00:00,mass_attack_active,oblast,donetsk,true
2022-06-30T15:58:25+00:00,mass_attack_active,oblast,kharkiv,true
2022-07-01T04:17:22+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-01T15:41:42+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-02T04:51:26+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-03T05:06:10+00:00,mass_attack_active,oblast,donetsk,true
2022-07-03T15:52:16+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-04T04:25:13+00:00,mass_attack_active,oblast,donetsk,true
2022-07-04T16:42:16+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-05T16:08:20+00:00,mass_attack_active,oblast,donetsk,true
2022-07-05T19:15:32+00:00,mass_attack_active,national,,true
2022-07-05T19:54:24+00:00,mass_attack_active,oblast,dnipropetrovsk,true
2022-07-06T04:39:14+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-06T15:30:29+00:00,mass_attack_active,oblast,donetsk,true
2022-07-07T03:51:12+00:00,mass_attack_active,oblast,kharkiv,true
2022-07-08T16:27:21+00:00,mass_attack_active,oblast,kharkiv,true
2022-07-09T04:30:52+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-10T05:47:43+00:00,mass_attack_active,oblast,kharkiv,true
2022-07-10T15:47:53+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-11T04:27:29+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-11T15:41:41+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-12T05:00:58+00:00,mass_attack_active,oblast,donetsk,true
2022-07-12T16:21:55+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-12T19:31:47+00:00,mass_attack_active,oblast,donetsk,true
2022-07-13T05:35:20+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-13T15:56:07+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-14T04:40:05+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-14T10:31:35+00:00,mass_attack_active,oblast,vinnytsia,true
2022-07-14T16:32:03+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-15T05:29:26+00:00,mass_attack_active,oblast,chernihiv,true
2022-07-15T17:30:45+00:00,mass_attack_active,oblast,vinnytsia,true
2022-07-15T20:35:42+00:00,mass_attack_active,national,,true
2022-07-15T20:35:42+00:00,tu_95_takeoff,national,,true
2022-07-16T04:27:14+00:00,mass_attack_active,oblast,donetsk,true
2022-07-16T15:41:08+00:00,mass_attack_active,oblast,cherkasy,true
2022-07-16T15:41:08+00:00,tu_95_takeoff,national,,false
2022-07-16T16:56:32+00:00,mass_attack_active,oblast,cherkasy,true
