pr_auc,roc_auc,f1_macro,n_pos,n,pos_rate,oblast,oblast_id,horizon,threshold,active
0.3343424533676988,0.6861816991389231,0.5913311998483446,725,4201,0.17257796227931976,Cherkasy,1,1,0.6,True
0.20889280039968994,0.5574768858378636,0.47711338448422846,725,4201,0.17257796227931976,Cherkasy,1,2,0.59,True
0.19867624101330805,0.5402987976667593,0.46031477595547954,725,4201,0.17257796227931976,Cherkasy,1,3,0.59,True
0.19803047770214027,0.5374911709852783,0.4048261475132964,725,4201,0.17257796227931976,Cherkasy,1,4,0.55,True
0.2056685760461428,0.5360743621284869,0.4178087283978419,725,4201,0.17257796227931976,Cherkasy,1,5,0.55,True
0.20776977830510487,0.5330042458632593,0.45075714258196603,725,4201,0.17257796227931976,Cherkasy,1,6,0.5800000000000001,True
0.6000226303757075,0.6319387398904724,0.5890929950085824,2080,4201,0.49512019753456116,Chernihiv,2,1,0.6,True
0.5329952988638157,0.5549616019294237,0.49270297446282635,2080,4201,0.49512019753456116,Chernihiv,2,2,0.59,True
0.5301111246024561,0.5562872565700088,0.4680799251046214,2079,4201,0.49488216638565063,Chernihiv,2,3,0.59,True
0.5276458079612975,0.5545275698534362,0.4232119478737288,2078,4201,0.4946441352367401,Chernihiv,2,4,0.55,True
0.5244289854479574,0.5486863114716194,0.4295288710360982,2077,4201,0.4944061040878296,Chernihiv,2,5,0.55,True
0.5221943032540425,0.5463501700536864,0.4453549687101557,2077,4201,0.4944061040878296,Chernihiv,2,6,0.5800000000000001,True
0.5025946310278393,0.897854824614125,0.7566680629166805,317,4201,0.07545822113752365,Chernivtsi,3,1,0.6,True
0.40425751217348604,0.8360547355973059,0.6448234347205595,317,4201,0.07545822113752365,Chernivtsi,3,2,0.59,True
0.416397077474836,0.8165936772068211,0.536765516674047,317,4201,0.07545822113752365,Chernivtsi,3,3,0.59,True
0.43696134292846367,0.802988561013882,0.5658754297620145,317,4201,0.07545822113752365,Chernivtsi,3,4,0.55,True
0.43230906773219707,0.7851502727358377,0.5378429341717241,317,4201,0.07545822113752365,Chernivtsi,3,5,0.55,True
0.3650201948249332,0.7651929618234803,0.48359987427607604,317,4201,0.07545822113752365,Chernivtsi,3,6,0.5800000000000001,True
,,,0,4201,0.0,Crimea,4,1,0.6,False
,,,0,4201,0.0,Crimea,4,2,0.59,False
,,,0,4201,0.0,Crimea,4,3,0.59,False
,,,0,4201,0.0,Crimea,4,4,0.55,False
,,,0,4201,0.0,Crimea,4,5,0.55,False
